:25:10:floor
{STONE, STONE, STONE, STONE, STONE, STONE, STONE, STONE, STONE, STONE}
{STONE,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD, STONE}
{STONE,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD, STONE}
{STONE,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD, STONE}
{STONE,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD, STONE}
{STONE,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD, STONE}
{STONE,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD, STONE}
{STONE,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD, STONE}
{STONE,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD, STONE}
{STONE,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD, STONE}
{STONE,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD, STONE}
{STONE,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD, STONE}
{STONE,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD, STONE}
{STONE,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD, STONE}
{STONE,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD, STONE}
{STONE,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD, STONE}
{STONE,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD, STONE}
{STONE,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD, STONE}
{STONE,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD, STONE}
{STONE,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD, STONE}
{STONE,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD, STONE}
{STONE,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD, STONE}
{STONE,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD, STONE}
{STONE,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD, STONE}
{STONE, STONE, STONE, STONE, STONE, STONE, STONE, STONE, STONE, STONE}

:25:10:level 01
{STONE, STONE, STONE, STONE, STONE, STONE, STONE, STONE, STONE, STONE}
{STONE,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR, STONE}
{STONE,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR, STONE}
{STONE,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR, STONE}
{STONE,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR, STONE}
{STONE,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR, STONE}
{STONE,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR, STONE}
{STONE,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   WOOD_STAIRS, STONE}
{STONE,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR, STONE}
{STONE,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR, STONE}
{STONE,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR, STONE}
{STONE,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR, STONE}
{STONE,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR, STONE}
{STONE,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR, STONE}
{STONE,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR, STONE}
{STONE,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR, STONE}
{STONE,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR, STONE}
{STONE,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR, STONE}
{STONE,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR, STONE}
{STONE,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR, STONE}
{STONE,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR, STONE}
{STONE,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR, STONE}
{STONE,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR, STONE}
{STONE,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR, STONE}
{STONE, STONE, STONE, STONE, STONE, STONE, STONE, STONE, STONE, STONE}

:25:10:level 02
